Policy Type,Policy Name,Priority,Policy Description,Action,Active,All Computers,Selected Computers/Groups,Excluded Computers/Groups,Selected AD Groups,Excluded AD Groups,Users,Activation Option,Activate On,Deactivate On,Scheduled On Day,Scheduled From,Scheduled To,Apply Policy,Check By,URL,Host/IP,Checked Script Name,Collect Policy Usage,Send Policy Automation Events,End-User UI,Trust All Applications,Executed Script Name,Executed Script Triggers,Access,Application Type,Application Description,Security Token,Security Level
CPrivilegeTheftPolicy,Suspicious Request To Boot In Debug Mode,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Suspicious Request To Boot In Test-Signing Mode,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,FileZilla Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Toad For Oracle Database Client Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,SQL Server Management Studio Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,DashLane Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Pass The Ticket Attack,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Credential Theft from WinLogon Automation,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Total Commander Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Putty Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Okta AD Agent Tamper Protection,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Opera Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,DbVisualizer Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Tortoise SVN Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Git Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Composer Credentials Theft,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Credential Theft from SolarWinds Orion,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
CPrivilegeTheftPolicy,Duo Integration Secrets Dump,N/A,,PolicyActionDisplayName_VFPA_ENDPOINT_PROTECTION,No,Yes,,,,,,Manually,,,,,,Always,,,,,,,,,,,,,,,
Advanced Policy,Application Control Trusted Users,140 (Highest),79594071,Trust Source,Yes,Yes,,,,,"User ""ServicetwsGarQA"",User ""servicetwsprod"",Gteknoloji\servicegytestcrm,User ""ServiceTWSAgent"",User ""servicetwsprod"",garanti\servicedatasync,garanti\servicescom2012",Now,,,,,,Always,,,,,According to General Settings,No,,Yes,,,,,,,
Advanced Policy,Shared Management Policy,230 (High),78446521,Elevate,Yes,Yes,,,,,"Group ""USR_SRV_GAR_GTAIBulutMiddlewareTeknolojileri"",Group ""USR_SRV_GAR_GTAIDijitalIsYeriMobiliteTeknolojileri"",Group ""USR_SRV_GAR_GTAIIletisimTeknolojileri"",Group ""USR_SRV_GAR_GTAIIsbirligiTeknolojileri"",Group ""USR_SRV_GAR_GTAIUygulamaTeknolojileri"",gteknoloji\USR_SRV_GTEK_GTAIBulutMiddlewareTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIDijitalIsYeriMobiliteTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIIletisimTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIIsbirligiTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIUygulamaTeknolojileri",Now,,,,,,Always,,,,,According to General Settings,,"Elevate Notification,Elevate Notification",,,,,Script,,Administrator,HIGH
Advanced Policy,Application Policy for GTMetadata Teknolojileri,230 (High),79878997 -9723058,Elevate,Yes,No,"OU / All Computers/Server Computers/Managed Member Servers/GTVPYTOMantiksalVeriModeli,OU / All Computers/Server Computers/Managed Member Servers/GTVPYTOMantiksalVeriModeli/LMCompatibility",,,,USR_SRV_GAR_GTAIMetadataTeknolojileri,Now,,,,,,Always,,,,,According to General Settings,,"Elevate Notification,Elevate Notification",,,,,Executable,,Administrator,MEDIUM
Advanced Policy,Copy of Application Policy for GTAcikSistemlerVeritabani_non garanti,230 (High),"This Application Policy elevate users, which registered at 58397740 HYS record, for the Ecat Agent Installation Package and Uninstallation Package.",Elevate,No,No,,,,,"Group ""USR_SRV_GAR_GTVPOAcikSistemlerVeritabani"",Garanti\EPMtestuser,Garanti\GLB_GT_Sqlteam,TSTGARANTI\GLB_GT_Sqlteam,Teknoloji\GLB_GT_ElevatedSqlTeam,Teknoloji\GLB_GT_Sqlteam,garanti\yasint1",Manually,,,,,,Always,,,,,According to General Settings,,"[IMPORTED] [IMPORTED] [IMPORTED] [IMPORTED] Launch with elevated,[IMPORTED] [IMPORTED] [IMPORTED] [IMPORTED] Launch with elevated",,,,,Executable,,Administrator,HIGH
Advanced Policy,Application Policy for GTAcikSistemlerVeritabani,230 (High),"This Application Policy elevate users, which registered at 58397740 HYS record, for the Ecat Agent Installation Package and Uninstallation Package.-9214089 - 14175212 -",Elevate,Yes,No,"OU / All Computers/Server Computers/Managed Member Servers/GTVPOAcikSistemlerVeritabani,GT-AcikSistemlerVeritabani,OU / All Computers/Server Computers/Managed Member Servers/GTVPYTOAcikSistemlerVeritabani,OU / All Computers/Server Computers/Managed Member Servers/GTVPYTOAcikSistemlerVeritabani/LMCompatibility,DGARSQLSPS02",,,,"Group ""USR_SRV_GAR_GTAIMetadataTeknolojileri"",Group ""USR_SRV_GAR_GTVPYTOAcikSistemlerVeritabani"",Garanti\GLB_GT_Sqlteam,IPCC\GT-Sql Team,IPCC\USR_SRV_IPCC_GTVPYTOAciksistemlerVeritabani,TGARSQL26\sqlteam,TSTGARANTI\GLB_GT_Sqlteam,Teknoloji\GLB_GT_ElevatedSqlTeam,Teknoloji\GLB_GT_Sqlteam",Now,,,,,,Always,,,,,According to General Settings,,,,,,,Executable,,Administrator,HIGH
Advanced Policy,Important Allow Share Policy Script,230 (High),,Elevate,Yes,Yes,,,,,".\uygsun,Group ""USR_SRV_GAR_GTVPYTOIntelUygulamaYonetimi""",Now,,,,,,Always,,,,,According to General Settings,,"[IMPORTED] [IMPORTED] [IMPORTED] [IMPORTED] Launch with elevated,[IMPORTED] [IMPORTED] [IMPORTED] [IMPORTED] Launch with elevated",,,,,Script,,Administrator,HIGH
Advanced Policy,Application Permission Policy for Hazine Bankacılığı,230 (High),11241468,Elevate,Yes,No,"TGARWEBKUR01,DGARWEBKUR01",,,,USR_SRV_GAR_GTBUHazineAltyapiVeSgmkYazilim,Now,,,,,,Always,,,,,According to General Settings,,"[IMPORTED] Launch with elevated privileges (3),[IMPORTED] Launch with elevated privileges (3)",,,,,Executable,,Administrator,MEDIUM
Advanced Policy,IMPORTANT Allow File Sharing Policy,250 (High),,Set Security Permissions,Yes,Yes,,,,,".\uygsun,Group ""USR_SRV_GAR_GTVPYTOIntelUygulamaYonetimi"",TSTGARANTI\GulayY1",Now,,,,,,Always,,,,,,,,,,,Allow Full Control,FSEntry,,,LOW
Advanced Policy,File Permissions Policy for GTAcikSistemlerVeritabani,250 (High),,Set Security Permissions,Yes,No,"OU / All Computers/Server Computers/Managed Member Servers/GTVPOAcikSistemlerVeritabani,GT-AcikSistemlerVeritabani,OU / All Computers/Server Computers/Managed Member Servers/GTVPYTOAcikSistemlerVeritabani,OU / All Computers/Server Computers/Managed Member Servers/GTVPYTOAcikSistemlerVeritabani/LMCompatibility,DGARSQLSPS02",,,,"Group ""USR_SRV_GAR_GTVPOAcikSistemlerVeritabani"",User ""Yasin Tasci (Garanti Teknoloji)"",Garanti\EPMtestuser,IPCC\GT-Sql Team,IPCC\USR_SRV_IPCC_GTVPYTOAciksistemlerVeritabani,TGARSQL26\sqlteam,TSTGARANTI\GLB_GT_Sqlteam,Teknoloji\GLB_GT_ElevatedSqlTeam,Teknoloji\GLB_GT_Sqlteam,garanti\GLB_GT_Sqlteam",Now,,,,,,Always,,,,,,,,,,,Allow Full Control,RegKey,,,LOW
Advanced Policy,Services Permissions Policy for GTAcikSistemlerVeritabani,250 (High),"This Security Policy elevate users to start/stop, which registered in",Set Security Permissions,Yes,No,"OU / All Computers/Server Computers/Managed Member Servers/GTVPOAcikSistemlerVeritabani,GT-AcikSistemlerVeritabani,OU / All Computers/Server Computers/Managed Member Servers/GTVPYTOAcikSistemlerVeritabani,OU / All Computers/Server Computers/Managed Member Servers/GTVPYTOAcikSistemlerVeritabani/LMCompatibility,DGARSQLSPS02",,,,"Group ""USR_SRV_GAR_GTVPOAcikSistemlerVeritabani"",Garanti\GLB_GT_Sqlteam,IPCC\GT-Sql Team,IPCC\USR_SRV_IPCC_GTVPYTOAciksistemlerVeritabani,TGARSQL26\sqlteam,TSTGARANTI\GLB_GT_Sqlteam,Teknoloji\GLB_GT_ElevatedSqlTeam,Teknoloji\GLB_GT_Sqlteam,garanti\epmtestuser",Now,,,,,,Always,,,,,,,,,,,Allow Full Control,Service,,,LOW
Advanced Policy,File Permissions Policy for GTCRMveIVRUygulamalari,250 (High),61270330,Set Security Permissions,Yes,No,DGARAPPTBD03,,,,"Group ""USR_SRV_GAR_GTBTGRYKimlikveErisimYonetimi"",Group ""USR_SRV_GAR_GTBTGRYUygulamaGuvenligiYonetimi"",GARANTI\USR_SRV_GAR_GTFSCRMveIvrUygulamalariYazilim,TSTGARANTI\USR_SRV_GAR_GTMGUygulamaGuvenligiYonetimi",Now,,,,,,Always,,,,,,,,,,,Allow Full Control,FSEntry,,,LOW
Advanced Policy,Shared Management Policy_File Permission,250 (High),78446521,Set Security Permissions,Yes,Yes,,,,,"GARANTI\USR_SRV_GAR_GTAIBulutMiddlewareTeknolojileri,GARANTI\USR_SRV_GAR_GTAIDijitalIsYeriMobiliteTeknolojileri,GARANTI\USR_SRV_GAR_GTAIIletisimTeknolojileri,GARANTI\USR_SRV_GAR_GTAIIsbirligiTeknolojileri,GARANTI\USR_SRV_GAR_GTAIUygulamaTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIBulutMiddlewareTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIDijitalIsYeriMobiliteTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIIletisimTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIIsbirligiTeknolojileri,gteknoloji\USR_SRV_GTEK_GTAIUygulamaTeknolojileri",Now,,,,,,Always,,,,,,,,,,,Allow Full Control,FSEntry,,,LOW
Advanced Policy,Application Policy for GTCRMveIVRUygulamalari,330 (Above Normal),"This Application Policy elevate users, which registered at  61270330  HYS record, for GTCRMveIVRUygulamalari",Elevate,Yes,No,DGARAPPTBD03,,,,"User ""Gurkan Cetinkaya"",User ""Muammer Somali (Garanti Teknoloji)"",Group ""USR_SRV_GAR_GTFSCRMveIvrUygulamalariYazilim"",Group ""USR_SRV_GAR_GTFSYGMobilveIvrUygulamalari""",Now,,,,,,Always,,,,,According to General Settings,,"Elevate Notification,Elevate Notification",,,,,Executable,,Administrator,HIGH
Advanced Policy,Application Permission Policy for USR_SRV_GAR_GTKGKriptografiCozumleri,330 (Above Normal),9323453,Elevate,Yes,No,"TGARAPPEDK01,TGARAPPEDK02,TGARAPPEDK03",,,,USR_SRV_GAR_GTKGKriptografiCozumleri,Now,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,Executable by checksum based on file 'lunahsmclient.exe',Administrator,HIGH
Advanced Policy,File Permissions Policy for GTGuvenlikLogYonetimi_All Servers_Deny Write,350 (Above Normal),Guardium Files - Deny Write,Set Security Permissions,Yes,Yes,,,SRV_GAR_GTVPYTOAcikSistemlerVeritabani,,USR_SRV_GAR_GTMGBTGuvenlikLogYonetimiveAnalitigi,Now,,,,,,Always,,,,,,,,,,,Deny Write,FSEntry,,,LOW
Advanced Policy,File Permissions Policy for GTGuvenlikLogYonetimiveAnalitigi_DB Servers - Deny Write,350 (Above Normal),Guardium,Set Security Permissions,Yes,Yes,,,"GARANTI\SRV_GAR_GTVPOAcikSistemlerVeritabani_TestServers,GARANTI\SRV_GAR_GTVPYTOAcikSistemlerVeritabani",,USR_SRV_GAR_GTMGBTGuvenlikLogYonetimiveAnalitigi,Now,,,,,,Always,,,,,,,,,,,Deny Write,FSEntry,,,LOW
Advanced Policy,Monitoring Computer Management,420 (Normal),,Run Normally,No,No,,,,,Domain Users,Manually,,,,,,Always,,,,,According to General Settings,,,,,,,AdminTask,,Administrator,MEDIUM
Advanced Policy,Run Normally Policy for GTNakitYonetimiVeIslemBankaciligiYazilim,420 (Normal),78855614  - 80791274,Run Normally,No,No,,,,,"Group ""USR_SRV_GAR_GTBUNakitYonetimiVeIslemBankaciligiYazilim"",Group ""USR_SRV_GAR_GTFSFactoringYazilim""",Manually,,,,,,Always,,,,,According to General Settings,,,,,,,Executable,,Administrator,HIGH
Advanced Policy,Application Permission Policy for GTAIBulutServisleriOtomasyonTeknolojileri,420 (Normal),6522727 - 6522716 - 6522692 - 6522678,Run Normally,No,No,,,,,GARANTI\USR_SRV_GAR_GTAIBulutServisleriOtomasyonTeknolojileri,Manually,,,,,,Always,,,,,According to General Settings,,,,,,,Executable,Executable by checksum based on file 'appdynamics.agent.winston.exe',Administrator,HIGH
Advanced Policy,Application Policy For USR_SRV_GAR_GTKGGuvenlikPlatformlari,420 (Normal),7362583,Run Normally,No,Yes,,,,,USR_SRV_GAR_GTKGGuvenlikPlatformlari,Manually,,,,,,Always,,,,,According to General Settings,,,,,,,Executable,,Administrator,HIGH
Advanced Policy,Application Policy For GTKGKimlikVeErisimYonetimi,430 (Normal),7362583,Elevate,Yes,Yes,,,,,USR_SRV_GAR_GTKGKimlikVeErisimYonetimi,Now,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,HIGH
Advanced Policy,Application Policy for srv_prometeiatest,430 (Normal),7521200,Elevate,No,No,,,,,srv_prometeiatest,Manually,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,HIGH
Advanced Policy,cigdem,430 (Normal),7521200,Elevate,No,No,,,,,srv_prometeiatest,Manually,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,LOW
Advanced Policy,Application Policy For GTKCFSKurumsalPortaller,430 (Normal),7009219,Elevate,No,No,,,,,USR_SRV_GAR_GTKCFSKurumsalPortaller,Manually,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,Microsoft Visual Studio,Administrator,HIGH
Advanced Policy,Set Security Permission For  Service User,430 (Normal),7165650,Elevate,Yes,No,"TGARAPPIPO01,TGARWEBIPO01",,,,HYSWUsrProd,Now,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,AdminTask,,Administrator,MEDIUM
Advanced Policy,Application Permissions Policy for GTKGKimlikVeErisimYonetimi,430 (Normal),7199431 - 7756206,Elevate,No,No,,,,,TSTGARANTI\USR_SRV_GAR_GTBTGRYKimlikveErisimYonetimi,Manually,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,LOW
Advanced Policy,Application Permission Policy for GTKGFizikselGuvenlikPlatformlari,430 (Normal),7244290,Elevate,No,No,,,,,USR_SRV_GAR_GTKGFizikselGuvenlikPlatformlari,Manually,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,MEDIUM
Advanced Policy,Application Permissions Policy GTKGFizikselGuvenlikPlatformlari,430 (Normal),"6903318
6904927
6918323
6918657
6920983",Elevate,No,No,,,,,USR_SRV_GAR_GTKGFizikselGuvenlikPlatformlari,Manually,,,,,,Always,,,,,According to General Settings,,"Audit Video,Audit Video Error,Audit Video Initialization,Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,LOW
Advanced Policy,Application Policy for ZafiyetYonetimiVeGuvenlikTestleri,430 (Normal),7375320,Elevate,Yes,No,TGARAPPCQL01,,,,USR_SRV_GAR_GTKGZafiyetYonetimiVeGuvenlikTestleri,Now,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,LOW
Advanced Policy,Application Policy for GTVPYTOCiktiHazirlama,430 (Normal),"6373252 TGARAPPDOC01
6373258 DGARAPPDOC01",Elevate,Yes,No,TGARAPPDOC01,,,,USR_SRV_GAR_GTVPYTOCiktiHazirlama,Now,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,HIGH
Advanced Policy,Application Policy for GAR_GTAIDijitalIsYeriMobiliteTeknolojileri,430 (Normal),6390195,Elevate,No,No,,,,,"TSTGARANTI\Serviceprometeiatest,TSTGARANTI\USR_SRV_TSTGAR_GTAIDijitalIsYeriMobiliteTeknolojileri,TSTGARANTI\oznury1",Manually,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,MEDIUM
Advanced Policy,Application Policy For GTAIBulutUygulamaTeknolojileri,430 (Normal),6554014,Elevate,No,No,,,,,TSTGARANTI\serviceprometeiatest,Manually,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,LOW
Advanced Policy,Application Policy for BulutUygulamaTeknolojileri,430 (Normal),6822262,Elevate,Yes,No,TGARAPPEMS03,,,,,Now,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,LOW
Advanced Policy,Application Policy For GTDBMDMCagriMerkeziUygulamalariYazilim,430 (Normal),6739573,Elevate,No,No,,,,,USR_SRV_GAR_GTDBMDMCagriMerkeziUygulamalariYazilim,Manually,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,MEDIUM
Advanced Policy,Application Policy for GTUygulamaTeknolojileri,430 (Normal),"6374766
6556627",Elevate,Yes,No,TTEKAPPDWS01,,,,"Group ""USR_SRV_GAR_GTAIUygulamaTeknolojileri"",User ""uxtuqkfk""",Now,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,MEDIUM
Advanced Policy,Application Policy for GTUygulamaTeknolojileri (1),430 (Normal),6374766-9007867-11462992 - 12439309 -,Elevate,Yes,No,TTEKAPPDWS01,,,,"Group ""USR_SRV_GAR_GTAIUygulamaTeknolojileri"",Group ""USR_SRV_GAR_GTKGSiberGuvenlikSavunmaTeknolojileri"",Group ""USR_SRV_GAR_GTSRSMusteriIliskileriVeSurecOtomasyonRezilyansYonet""",Now,,,,,,Always,,,,,According to General Settings,,"Launch with elevated privileges,Launch with elevated privileges",,,,,Executable,,Administrator,MEDIUM
Advanced Policy,Application Policy for OzdemirTest,430 (Normal),test icin,Elevate,No,No,,,,,EPMtestuser,Manually,,,,,,Always,,,,,According to General Settings,,"Elevate Notification,Elevate Notification",,,,,Executable,,Administrator,MEDIUM
Advanced Policy,Application Policy for Ozdemir Chrome,430 (Normal),81129254,Elevate,No,No,,,,,Ozdemir Sahin (GT-Garanti User),Manually,,,,,,Always,,,,,According to General Settings,,"Elevate Notification,Elevate Notification",,,,,Executable,,Administrator,HIGH
Advanced Policy,Application Policy for GTTedarikZinciriVeKurumsalSurecYonetimi,430 (Normal),"81562879
81692983",Elevate,No,No,,,,,"Group ""USR_SRV_GAR_GTKCFSIkUygulamalariYazilim"",Group ""USR_SRV_GAR_GTKCFSTedarikZinciriVeKurumsalSurecYonetimi""",Manually,,,,,,Always,,,,,According to General Settings,,"Elevate Notification,Elevate Notification",,,,,Executable,,Administrator,HIGH
Advanced Policy,Application Policy For NakitYonetimiVeIslemBankaciligiYazilim,430 (Normal),6146567,Elevate,No,No,,,,,USR_SRV_GAR_GTBUNakitYonetimiVeIslemBankaciligiYazilim,Manually,,,,,,Always,,,,,According to General Settings,,"[IMPORTED] Elevate Notification,[IMPORTED] Elevate Notification",,,,,Executable,,Administrator,MEDIUM
